UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
1654734750,26.322,52.63,2,400,13109,20007,939.681,0.78,0.81,5.34,0.833,0.019,1419,0
1654762366,13.39,56.82,3,400,13031,19935,939.747,0.21,0.22,1.45,0.225,0.005,1023,0
1654734519,26.99,56.34,0,400,13080,19967,939.778,0.41,0.43,2.82,0.44,0.01,1188,0
1654741588,-4.456,56.61,319,400,13104,19941,939.427,0.35,0.36,2.39,0.372,0.008,8257,1
1654775861,24.51,53.34,1182,477,12855,19430,938.91,1.76,1.83,12.11,1.889,0.043,14518,1
1654775392,26.67,48.71,1088,485,12861,19456,938.901,1.79,1.86,12.31,1.919,0.043,14049,1
1655125295,-3.456,43.62,75,400,12794,20672,937.54,2.2,2.29,15.15,2.363,0.053,987,0
1654775818,26.92,47.75,1172,465,12863,19442,938.916,2.22,2.31,15.29,2.384,0.054,14475,1
1654735994,15.676,48.01,73,400,13196,20104,939.653,1.02,1.06,7,1.092,0.025,2663,0
1654714354,26.02,47.26,123,404,12787,20595,937.343,2,2.08,13.78,2.149,0.049,2167,0
1654763000,18.05,52.05,0,400,13156,20058,939.605,0.83,0.86,5.73,0.893,0.02,1657,0
1654735167,23.88,49.45,53,400,13126,19997,939.62,0.72,0.75,4.97,0.774,0.017,1836,0
1654781651,27.04,47.77,1291,400,12945,19408,938.743,1.82,1.89,12.51,1.951,0.044,20308,1
1654733839,25.404,56.76,0,400,12786,19790,939.827,0.29,0.32,1.95,0.338,0.027,508,0
1655126680,-0.542,43.44,195,448,12768,20517,937.344,1.79,1.86,12.32,1.921,0.043,2372,0
1654713260,27.81,40.66,117,429,12766,20623,937.509,2.1,2.18,14.46,2.254,0.051,1073,0
1654736024,15.324,51.18,94,400,13189,20078,939.646,1.08,1.13,7.46,1.164,0.026,2693,0
1654739899,-6.795,49.06,194,400,13154,20066,939.615,0.72,0.75,4.94,0.77,0.017,6568,1
1655124715,24.352,39.83,65,403,12834,20699,937.522,1.96,2.03,13.47,2.1,0.047,407,0
1655129855,-11.213,12.75,1961,400,13621,20182,936.676,0.8,0.83,5.47,0.854,0.019,5547,0
1654714848,25.71,49.04,155,429,12776,20566,937.346,1.73,1.8,11.9,1.855,0.042,2661,0
1654763783,20.4,47.32,29,400,13212,20127,939.618,1.08,1.13,7.46,1.163,0.026,2440,0
1654716286,31.7,54.63,3149,400,13207,19821,936.913,0.78,0.81,5.38,0.839,0.019,4099,0
1655127391,20.103,49.22,187,416,12775,20535,937.355,1.43,1.48,9.81,1.53,0.035,3083,0
1655128527,19.618,38.81,9513,400,12895,19358,936.849,0.55,0.57,3.79,0.592,0.013,4219,0
1654752215,20.743,52.87,1178,412,12912,19436,938.689,1.4,1.45,9.61,1.498,0.034,18884,1
1655127443,19.313,48.89,206,431,12767,20518,937.381,1.46,1.51,10.03,1.564,0.035,3135,0
1654741163,-4.093,50.16,300,400,13112,19965,939.415,0.43,0.45,2.99,0.466,0.011,7832,1
1654774765,24.82,51.98,1186,529,12834,19429,938.906,1.78,1.85,12.23,1.907,0.043,13422,1
1654746677,20.302,46.95,1149,529,12844,19443,938.877,2.07,2.15,14.24,2.22,0.05,13346,1
1654762152,14.73,53.84,0,400,12977,19914,939.78,0.15,0.16,1.04,0.162,0.004,809,0
1654779469,26.48,50.09,1184,400,12908,19433,938.711,2.03,2.11,13.98,2.18,0.049,18126,1
1654733711,24.417,54.81,30,400,12694,19724,939.82,0.04,0.05,0.25,0.057,0.012,380,0
1654714732,27.77,46.82,137,407,12786,20580,937.334,1.89,1.97,13.02,2.031,0.046,2545,0
1655127736,13.47,45.06,0,400,13117,21013,937.449,2.12,2.21,14.61,2.278,0.051,3428,0
1654734464,27.068,56.74,17,400,13054,19955,939.752,0.38,0.39,2.59,0.404,0.009,1133,0
1654734687,26.557,56.22,0,400,13115,20027,939.705,0.62,0.64,4.25,0.663,0.015,1356,0
1655128912,16.29,16.13,40870,856,12572,18613,936.903,0.81,0.84,5.58,0.87,0.02,4604,0
1654739942,-6.642,50.5,202,400,13147,20067,939.608,0.87,0.9,5.97,0.931,0.021,6611,1
1654717513,59.39,11.08,47453,402,12819,18558,936.713,11.62,12.9,77.89,13.459,1.085,5326,0
1655124387,24.094,44.9,32,437,12850,20761,937.612,2.17,2.26,14.95,2.332,0.053,79,0
1654739674,-7.576,54.5,187,400,13165,20092,939.643,0.86,0.89,5.92,0.923,0.021,6343,1
1654735838,17.466,48,55,400,13182,20117,939.628,0.99,1.03,6.85,1.068,0.024,2507,0
1654764277,18.5,51.68,154,400,13150,20025,939.627,0.91,0.95,6.29,0.981,0.022,2934,0
1655128461,18.567,50.04,6078,400,13110,19576,936.895,0.36,0.37,2.45,0.381,0.009,4153,0
1655125047,8.905,46.82,86,447,12779,20680,937.55,2.3,2.39,15.83,2.468,0.056,739,0
1654735977,15.875,53.01,74,400,13195,20103,939.647,1.18,1.23,8.12,1.266,0.029,2646,0
1654778776,25.38,48.85,1208,417,12887,19426,938.749,1.48,1.54,10.18,1.587,0.036,17433,1
1654769034,18.46,55.74,289,400,13115,19969,939.444,0.28,0.29,1.91,0.299,0.007,7691,1
1655127091,17.645,49.08,135,400,12793,20585,937.383,1.43,1.49,9.86,1.538,0.035,2783,0
1654752988,19.141,51.44,1266,420,12914,19419,938.713,1.54,1.6,10.62,1.656,0.037,19657,1
1654734143,26.83,52.69,1,400,12971,19908,939.806,0.15,0.16,1.05,0.164,0.004,812,0
1655130024,13.694,15.99,577,400,13757,20620,936.663,0.68,0.71,4.69,0.732,0.017,5716,0
1654717008,41.77,35.1,4033,400,13268,19749,936.874,0.65,0.68,4.49,0.7,0.016,4821,0
1654733803,25.15,50.85,11,400,12766,19774,939.838,0.14,0.16,0.89,0.167,0.02,472,0
1655125205,0.605,43.92,84,407,12778,20668,937.561,2.09,2.17,14.37,2.24,0.051,897,0
1654775847,24.79,52.38,1124,465,12860,19448,938.925,1.93,2,13.26,2.068,0.047,14504,1
1655127299,20.835,42.16,176,420,12775,20540,937.375,1.79,1.86,12.32,1.921,0.043,2991,0
1654733703,24.347,51.4,33,400,12679,19712,939.806,0.04,0.06,0.26,0.062,0.013,372,0
1654714688,28.69,42.42,172,430,12772,20549,937.329,1.83,1.9,12.59,1.964,0.044,2501,0
1654763692,17.62,53.44,24,400,13208,20135,939.574,1.05,1.09,7.25,1.131,0.026,2349,0
1654774471,24.64,52.64,1166,536,12836,19439,938.922,2.11,2.2,14.55,2.27,0.051,13128,1
1654772920,24.21,53.57,1071,619,12808,19456,939.06,2.11,2.19,14.53,2.265,0.051,11577,1
1654717494,59.08,11.09,60000,776,12617,18314,936.721,35.81,39.75,240.1,41.481,3.338,5307,0
1655125620,-9.147,40.69,60,400,12791,20665,937.488,1.76,1.83,12.12,1.889,0.043,1312,0
1654763281,16.62,53.77,76,400,13116,19978,939.625,0.69,0.72,4.78,0.746,0.017,1938,0
1654712311,27.23,44.05,66,443,12851,20723,937.578,2.3,2.39,15.86,2.473,0.056,124,0
1654761650,13.94,49.67,8,400,12670,19718,939.806,0.06,0.08,0.32,0.089,0.025,307,0
1654715531,28.82,42.59,188,424,12767,20511,937.424,1.7,1.77,11.7,1.824,0.041,3344,0
1655125532,-9.169,46.39,48,400,12805,20678,937.487,1.82,1.89,12.52,1.952,0.044,1224,0
1654713547,28.86,41.24,72,400,12790,20655,937.486,2.11,2.19,14.53,2.266,0.051,1360,0
1654764303,21.02,46.03,141,400,13159,20028,939.608,0.87,0.91,6.02,0.939,0.021,2960,0
1654764034,18.5,50.66,110,400,13179,20069,939.673,1.06,1.1,7.29,1.136,0.026,2691,0
1655128187,13.869,40.58,166,400,13204,20984,937.056,1.81,1.88,12.48,1.946,0.044,3879,0
1654715108,28.72,42.54,169,411,12778,20552,937.413,2.02,2.1,13.93,2.172,0.049,2921,0
1654715488,26.35,47.24,212,432,12765,20521,937.418,1.65,1.71,11.33,1.766,0.04,3301,0
1654770402,20.85,51.48,368,400,13057,19893,939.277,0.45,0.47,3.12,0.486,0.011,9059,1
1654761446,11.04,55.53,16,406,12537,19629,939.788,0.08,0.24,0.14,0.27,0.154,103,0
1654752873,19.704,52.66,1245,413,12915,19417,938.681,1.57,1.63,10.79,1.683,0.038,19542,1
1654735842,17.421,50.41,53,400,13187,20119,939.626,1.03,1.07,7.1,1.107,0.025,2511,0
1654713189,29.07,40.88,71,400,12792,20675,937.52,2.08,2.16,14.3,2.23,0.05,1002,0
1654735279,22.994,52.46,43,400,13141,20011,939.593,0.59,0.61,4.03,0.629,0.014,1948,0
1654771982,25.22,53.63,866,639,12805,19508,939.089,2.19,2.27,15.07,2.35,0.053,10639,1
1654712985,26.22,46.87,88,417,12785,20671,937.516,1.98,2.06,13.63,2.125,0.048,798,0
1654771332,24.52,52.3,762,717,12773,19542,939.135,2.6,2.7,17.92,2.794,0.063,9989,1
1654714642,26.77,43.97,182,457,12760,20546,937.302,1.9,1.97,13.05,2.034,0.046,2455,0
1654715314,26.03,48.23,208,429,12770,20516,937.388,1.34,1.39,9.21,1.436,0.032,3127,0
1654763731,20.4,46.92,17,400,13214,20139,939.6,0.88,0.92,6.06,0.946,0.021,2388,0
1654733958,26.111,56.01,0,400,12883,19847,939.856,0.19,0.2,1.31,0.204,0.005,627,0
1655126246,-4.682,47.96,131,406,12782,20589,937.357,1.69,1.76,11.64,1.815,0.041,1938,0
1654762629,14.62,55,27,400,13071,19945,939.708,0.4,0.42,2.77,0.432,0.01,1286,0
1654762802,15.35,54.77,33,400,13096,19976,939.7,0.55,0.57,3.78,0.589,0.013,1459,0
1655125952,-4.885,46.78,72,400,12799,20647,937.411,1.81,1.88,12.44,1.94,0.044,1644,0
1654715801,25.22,44.71,0,400,13258,21210,937.408,1.62,1.69,11.17,1.741,0.039,3614,0
1655125702,-8.425,47.25,102,403,12781,20621,937.455,1.76,1.83,12.12,1.89,0.043,1394,0
1654713247,29,41.07,65,400,12793,20676,937.52,1.88,1.96,12.97,2.023,0.046,1060,0
1654716806,54.65,13.06,14056,452,12786,19062,936.873,1.02,1.06,7.03,1.096,0.025,4619,0
1654763643,18.65,54.33,8,400,13212,20161,939.602,1.07,1.12,7.39,1.152,0.026,2300,0
1654762340,16.04,49.93,0,400,13033,19944,939.746,0.19,0.19,1.29,0.201,0.005,997,0
1654733772,24.917,55.1,13,400,12731,19754,939.84,0.1,0.12,0.64,0.128,0.02,441,0
1654782570,24.59,53.23,1415,418,12944,19386,938.709,2.03,2.11,14,2.183,0.049,21227,1
1654716628,48.48,23.28,13272,524,12751,19122,936.904,0.91,0.94,6.24,0.973,0.022,4441,0
1654734337,27.119,52.9,30,400,13018,19916,939.743,0.31,0.32,2.13,0.331,0.007,1006,0
1654749921,13.054,47.23,1088,401,12893,19454,938.744,1.81,1.88,12.43,1.938,0.044,16590,1
1654764482,21.2,45.76,177,400,13154,19998,939.624,0.81,0.84,5.55,0.865,0.02,3139,0
1654713393,26.32,46.45,93,400,12782,20648,937.504,2.17,2.26,14.96,2.333,0.053,1206,0
1654735763,18.295,48.26,38,400,13196,20120,939.604,1.19,1.23,8.16,1.273,0.029,2432,0
1655126065,-4.101,47.75,106,407,12775,20604,937.383,1.76,1.82,12.08,1.884,0.043,1757,0
1654715632,27.46,43.73,0,400,13122,21097,937.438,2,2.08,13.76,2.145,0.048,3445,0
1655127595,16.211,42.38,198,424,12772,20519,937.398,2.01,2.09,13.85,2.159,0.049,3287,0
1655126610,-2.784,48.38,142,412,12792,20580,937.334,1.95,2.03,13.43,2.094,0.047,2302,0
1654715344,28.59,43.03,199,431,12770,20518,937.359,1.73,1.8,11.94,1.862,0.042,3157,0
1654712484,27.46,42.86,38,415,12829,20736,937.606,2.21,2.29,15.18,2.367,0.053,297,0
1655126490,-4.853,48.27,149,410,12778,20563,937.341,1.64,1.7,11.27,1.757,0.04,2182,0
1654753492,14.995,53.32,981,400,13015,19480,938.727,1.88,1.96,12.96,2.02,0.046,20161,1
1654775686,26.3,51.73,1107,461,12869,19448,938.926,2.29,2.38,15.74,2.455,0.055,14343,1
1655125004,11.239,40.98,77,442,12784,20674,937.523,2.5,2.6,17.2,2.682,0.061,696,0
1654762158,15.01,51.85,6,400,12967,19900,939.806,0.15,0.15,1.02,0.158,0.004,815,0
1655127388,20.142,49.16,206,445,12765,20519,937.349,1.46,1.51,10.02,1.562,0.035,3080,0
1654734145,26.836,52.12,0,400,12981,19909,939.8,0.15,0.16,1.05,0.164,0.004,814,0
1654762727,16.47,48.76,30,400,13083,19983,939.716,0.54,0.56,3.7,0.577,0.013,1384,0
1654777132,26.67,48.83,1117,401,12882,19452,938.806,1.92,2,13.24,2.065,0.047,15789,1
1654745605,18.783,49.23,1057,595,12817,19464,939.04,1.97,2.05,13.57,2.117,0.048,12274,1
1654735938,16.328,47.74,59,400,13203,20117,939.64,1.07,1.11,7.37,1.149,0.026,2607,0
1655124892,17.077,40.23,62,401,12825,20703,937.511,1.99,2.07,13.69,2.134,0.048,584,0
1654752288,20.785,53.77,1205,400,12920,19430,938.695,1.6,1.66,11.02,1.719,0.039,18957,1
1655128707,20.73,27.79,13902,534,12751,19087,936.875,0.72,0.75,4.99,0.778,0.018,4399,0
1654762554,16.96,49.13,12,400,13075,19957,939.753,0.42,0.44,2.91,0.454,0.01,1211,0
1654716855,50.71,14.12,626,400,13357,20516,936.837,0.97,1.01,6.69,1.043,0.024,4668,0
1654746039,20.609,52.72,1069,560,12827,19463,938.958,2.02,2.1,13.93,2.172,0.049,12708,1
1654735171,23.85,48.66,58,400,13124,19999,939.607,0.7,0.73,4.82,0.751,0.017,1840,0
1654736340,11.487,48.45,171,400,13162,20008,939.656,0.7,0.73,4.83,0.753,0.017,3009,0
1654737043,2.817,54.01,257,400,13140,19952,939.681,1.27,1.32,8.72,1.36,0.031,3712,1
1654716632,48.38,22.91,13656,544,12740,19099,936.903,0.95,0.98,6.51,1.015,0.023,4445,0
1654734299,27.098,57.18,9,400,13016,19923,939.746,0.14,0.14,0.95,0.149,0.003,968,0
1654771927,25.47,51.33,929,659,12796,19501,939.089,2.37,2.46,16.29,2.54,0.057,10584,1
1654782353,26.61,48.87,1341,408,12949,19390,938.689,1.86,1.94,12.83,2.001,0.045,21010,1
1654903063,21.49,63.47,0,1476,12923,19940,931.219,12456.58,30870.15,40688.44,34810.785,17704.711,58,1
1655126849,6.957,48.98,167,444,12763,20562,937.333,1.99,2.07,13.72,2.139,0.048,2541,0
1654743900,1.728,55,927,683,12783,19494,939.095,2.23,2.31,15.32,2.389,0.054,10569,1
1654715689,25.35,45.05,0,400,13185,20991,937.47,1.82,1.89,12.5,1.949,0.044,3502,0
1654779554,25.95,47.31,1230,424,12895,19424,938.704,1.73,1.79,11.89,1.854,0.042,18211,1
1654735398,21.96,51.04,7,400,13163,20043,939.638,0.7,0.73,4.82,0.751,0.017,2067,0
1655126623,-2.424,42.41,142,400,12789,20570,937.324,1.82,1.89,12.55,1.957,0.044,2315,0
1654715300,27.56,42.2,223,458,12753,20496,937.358,1.52,1.58,10.46,1.631,0.037,3113,0
1654764091,18.64,49.77,119,400,13170,20054,939.625,0.96,1,6.6,1.03,0.023,2748,0
1654716017,27.42,39.13,0,400,13413,21374,937.418,1.49,1.55,10.25,1.599,0.036,3830,0
1654714166,26.41,45.62,128,418,12777,20590,937.362,2.02,2.09,13.87,2.163,0.049,1979,0
1654747334,17.708,47.2,1082,483,12856,19467,938.918,1.83,1.9,12.61,1.967,0.044,14003,1
1654733431,21.388,54.95,19,414,12527,19613,939.796,0.11,0.33,0.19,0.382,0.218,100,0
1654715857,24.89,44.11,0,400,13368,21209,937.46,1.49,1.55,10.24,1.597,0.036,3670,0
1654762712,17.37,50.37,0,400,13107,20006,939.703,0.36,0.38,2.5,0.389,0.009,1369,0
1654717085,47.26,28.01,60000,4692,11710,17189,936.868,1208.58,1255.67,8318.19,1297.122,29.297,4898,0
1654762965,16.66,49.62,43,400,13110,20009,939.617,0.6,0.63,4.16,0.648,0.015,1622,0
1654763413,19.26,49.67,2,400,13168,20059,939.639,0.82,0.85,5.63,0.878,0.02,2070,0
1654748186,13.704,50.07,1151,463,12858,19448,938.854,1.56,1.63,10.77,1.679,0.038,14855,1
1654713259,29.2,40.57,92,400,12788,20652,937.504,2.02,2.09,13.87,2.163,0.049,1072,0
1654761413,13.43,50.72,18,401,12529,19622,939.77,0.09,0.32,0.03,0.366,0.223,70,0
1654715700,28.09,40.34,0,400,13130,20976,937.466,2.01,2.09,13.81,2.154,0.049,3513,0
1654734044,26.501,49.96,1,400,12925,19872,939.772,0.27,0.28,1.88,0.293,0.007,713,0
1654757845,-0.64,50.12,1367,424,12975,19378,938.795,1.93,2.01,13.32,2.077,0.047,24514,1
1654733344,20.19,51.39,0,400,12469,19317,939.758,0.74,3.11,0,3.588,2.284,13,0
1654785673,26.98,47.41,1306,400,13000,19404,938.8,2.03,2.11,13.99,2.182,0.049,24330,1
1654713913,28.9,41.29,94,400,12792,20625,937.434,1.73,1.8,11.93,1.86,0.042,1726,0
1654713839,28.48,42.44,74,400,12797,20645,937.412,1.82,1.9,12.56,1.959,0.044,1652,0
1654763167,16.24,54.96,62,400,13118,19994,939.631,0.75,0.78,5.2,0.81,0.018,1824,0
1655126930,10.894,42.42,163,424,12776,20563,937.326,1.91,1.99,13.16,2.051,0.046,2622,0
1654766120,20.44,50.97,34,400,13257,20193,939.659,2.34,2.43,16.08,2.508,0.057,4777,1
1655129056,8.346,19.3,117,400,13534,21034,936.811,0.87,0.9,5.98,0.932,0.021,4748,0
1654764140,19.82,45.52,133,400,13157,20032,939.666,0.97,1,6.65,1.037,0.023,2797,0
1654735852,17.308,52.82,48,400,13190,20126,939.611,1.08,1.12,7.41,1.155,0.026,2521,0
1654712807,26.35,46.71,65,401,12824,20702,937.504,2.15,2.23,14.8,2.308,0.052,620,0
1655127746,13.318,44.79,0,400,13222,21149,937.43,2.03,2.11,13.96,2.178,0.049,3438,0
1654781358,25.12,50.54,1262,418,12920,19408,938.74,1.58,1.64,10.85,1.692,0.038,20015,1
1654778376,24.52,53.46,1149,408,12892,19445,938.804,1.43,1.49,9.86,1.538,0.035,17033,1
1655125140,3.907,40.29,92,415,12791,20669,937.564,2.31,2.4,15.9,2.479,0.056,832,0
1655130030,14.898,15.71,534,400,13795,20669,936.673,0.58,0.61,4.01,0.626,0.014,5722,0
1654735199,23.636,52.94,75,400,13112,19976,939.593,0.91,0.95,6.27,0.978,0.022,1868,0
1654752071,20.567,47.76,1186,400,12919,19429,938.711,1.56,1.62,10.75,1.676,0.038,18740,1
1654764450,18.86,50.53,165,400,13149,20003,939.671,0.72,0.75,4.94,0.77,0.017,3107,0
1655129715,-20.449,12.51,9944,400,13263,19388,936.698,0.91,0.94,6.23,0.972,0.022,5407,0
1654770965,22.9,59.48,720,710,12776,19549,939.137,2.97,3.08,20.42,3.184,0.072,9622,1
1654783525,24.69,52.85,1373,412,12958,19382,938.699,1.84,1.91,12.66,1.974,0.045,22182,1
1654735640,19.604,49.34,18,400,13205,20145,939.626,1.16,1.2,7.97,1.242,0.028,2309,0
1654756631,-21.733,48.13,1352,400,12975,19385,938.72,1.97,2.05,13.57,2.117,0.048,23300,1
1654715717,28.46,38.46,0,400,13221,21050,937.473,1.87,1.94,12.85,2.004,0.045,3530,0
1654735431,21.658,51.43,23,400,13142,20044,939.644,0.8,0.83,5.53,0.862,0.019,2100,0
1654779608,27.08,47.45,1140,405,12912,19437,938.693,1.44,1.5,9.94,1.55,0.035,18265,1
1654766457,22.02,49.49,37,400,13237,20172,939.705,1.68,1.75,11.58,1.805,0.041,5114,1
1654766351,22.33,48.15,49,400,13239,20169,939.707,2.41,2.5,16.57,2.584,0.058,5008,1
1654717653,53.25,12.89,3225,400,13470,19857,936.708,0.72,0.74,4.92,0.768,0.017,5466,0
1654715716,28.48,38.67,0,400,13209,21047,937.477,1.92,1.99,13.21,2.061,0.047,3529,0
1655129101,5.304,19.35,0,400,13642,21394,936.815,0.86,0.89,5.89,0.919,0.021,4793,0
1654761826,14.29,49.62,3,400,12780,19794,939.827,0.18,0.18,1.21,0.188,0.004,483,0
1654755831,-18.909,54.19,1375,403,12967,19387,938.756,1.62,1.69,11.17,1.742,0.039,22500,1
1654716159,26.03,73.37,1358,400,13337,20273,937.081,0.92,0.95,6.32,0.986,0.022,3972,0
1654763564,17.61,52.45,11,400,13188,20107,939.615,0.88,0.91,6.04,0.942,0.021,2221,0
1654758124,10.043,48.82,1293,400,12993,19402,938.83,1.65,1.71,11.35,1.771,0.04,24793,1
1654717181,48.95,24.72,60000,9643,11389,16551,936.829,6242.02,6773.5,42237.01,7044.066,431.125,4994,0
1655125715,-8.267,43.98,76,400,12795,20644,937.471,1.68,1.74,11.53,1.799,0.041,1407,0
1654764019,20.8,46.39,92,400,13189,20089,939.659,0.99,1.03,6.79,1.059,0.024,2676,0
1654737263,0.288,46.66,160,400,13210,20046,939.661,2.29,2.38,15.78,2.46,0.056,3932,1
1654713679,29.05,40.81,66,400,12794,20653,937.434,2.26,2.34,15.53,2.421,0.055,1492,0
1655129256,-5.822,21.47,60000,6728,11543,16815,936.858,4415.72,4587.77,30391.64,4739.215,107.043,4948,0
1654765958,19.89,53.68,32,400,13254,20187,939.652,2.32,2.41,16,2.495,0.056,4615,1
1654717608,56.66,11.74,6132,400,13387,19620,936.694,0.66,0.69,4.56,0.711,0.016,5421,0
1654736341,11.474,47.94,168,400,13158,20012,939.653,0.74,0.77,5.1,0.795,0.018,3010,0
1655125153,3.228,46.02,93,416,12784,20666,937.576,1.91,1.98,13.11,2.045,0.046,845,0
1654713367,28.93,41.19,87,400,12791,20647,937.486,1.89,1.97,13.03,2.032,0.046,1180,0
1655125305,-3.859,41.23,73,400,12792,20678,937.538,2.17,2.25,14.92,2.326,0.053,997,0
1654774220,25.02,50.72,1105,554,12835,19454,938.901,2.08,2.16,14.29,2.228,0.05,12877,1
1655129691,-21.166,11.18,12772,400,13093,19192,936.714,12.26,12.73,84.35,13.154,0.297,5383,0
1654741116,-4.083,49.72,289,400,13119,19976,939.427,0.34,0.35,2.32,0.361,0.008,7785,1
1654715967,24.96,42.85,0,400,13419,21252,937.429,2.19,2.27,15.05,2.347,0.053,3780,0
1654713761,25.98,47.45,89,401,12781,20625,937.441,1.84,1.92,12.69,1.979,0.045,1574,0
1654715174,28.84,42.23,182,423,12775,20541,937.362,1.78,1.85,12.23,1.907,0.043,2987,0
1654714840,25.85,48.59,164,436,12771,20557,937.37,1.7,1.76,11.67,1.82,0.041,2653,0
1654734673,26.604,55.33,0,400,13103,20000,939.71,0.61,0.64,4.21,0.657,0.015,1342,0
1654751823,20.015,48.5,1222,405,12916,19424,938.732,1.84,1.91,12.67,1.976,0.045,18492,1
1654781123,24.83,52.32,1233,404,12923,19426,938.71,1.7,1.76,11.68,1.822,0.041,19780,1
1654903991,33.48,17.3,0,1015,13029,20802,930.897,0.97,1.01,6.69,1.043,0.024,986,1
1654766214,22.01,50.17,23,400,13256,20198,939.696,2.36,2.45,16.25,2.533,0.057,4871,1
1654752386,20.786,50.39,1256,419,12909,19418,938.725,1.74,1.81,12,1.872,0.042,19055,1
1654758219,14.267,53.81,1304,414,12985,19393,938.841,1.79,1.86,12.3,1.918,0.043,24888,1
1654736368,11.139,46.79,193,400,13136,19980,939.658,0.68,0.71,4.68,0.73,0.016,3037,0
1655129844,-12.28,12.86,2281,400,13537,20082,936.67,0.93,0.97,6.41,1,0.023,5536,0
1655128333,16.217,60.17,2258,400,13401,20055,936.985,0.64,0.67,4.44,0.692,0.016,4025,0
1654714789,25.68,49.06,169,432,12770,20558,937.341,1.67,1.73,11.47,1.789,0.04,2602,0
1655126131,-4.141,48.02,129,400,12796,20597,937.422,2.16,2.24,14.84,2.315,0.052,1823,0
1654714036,28.9,41.17,156,417,12778,20561,937.447,1.6,1.66,10.98,1.712,0.039,1849,0
1654780817,25.23,49.82,1237,420,12917,19419,938.683,1.72,1.78,11.81,1.842,0.042,19474,1
1654716843,51.13,13.96,783,400,13321,20422,936.823,0.99,1.02,6.79,1.058,0.024,4656,0
1654714826,26.41,46.46,151,438,12768,20567,937.356,1.8,1.87,12.42,1.936,0.044,2639,0
1654717549,57.95,11.34,15435,400,13059,19067,936.71,4.8,4.99,33.02,5.155,0.12,5362,0
1654713293,28.18,44.44,93,400,12796,20650,937.536,2.07,2.15,14.27,2.225,0.05,1106,0
1654715941,27.19,39.08,0,400,13447,21282,937.392,2.11,2.19,14.49,2.26,0.051,3754,0
1654714014,28.07,44.32,135,400,12788,20584,937.412,2.09,2.17,14.38,2.242,0.051,1827,0
1654757228,-15.998,48.41,1385,412,12972,19375,938.701,1.63,1.69,11.22,1.749,0.04,23897,1
1654714085,28.65,41.86,131,400,12792,20596,937.371,1.83,1.9,12.61,1.966,0.044,1898,0
1655124943,14.486,41.03,53,410,12822,20714,937.509,2.19,2.28,15.07,2.35,0.053,635,0
1654764201,19.29,46.64,138,400,13154,20027,939.65,0.92,0.96,6.36,0.992,0.022,2858,0
1654734032,26.453,50.99,11,400,12915,19864,939.783,0.11,0.11,0.76,0.118,0.003,701,0
